"Id","Prediction1","Prediction2","Prediction3","Prediction4","Prediction5","Prediction6","Prediction7","Prediction8","Prediction9"
"Ig2DB5tSiEy1cJvV0zdw",0.21,0.2,0.222,0.062,0.052,0.128,0.012,0.022,0.092
"ITSUPtCmh7WdJcsYDwQ5",0.174,0.118,0.31,0.092,0.062,0.07,0.032,0.054,0.088
"iwXK2bUysO0CPvBf8nTt",0.124,0.13,0.138,0.094,0.078,0.168,0.056,0.096,0.116
"jEAbMPelkWmNgCrGU2QY",0.156,0.098,0.164,0.176,0.09,0.096,0.046,0.076,0.098
"Jmo6eIhLZ4t9r8QsxEg5",0.146,0.162,0.176,0.088,0.066,0.13,0.044,0.076,0.112
"JtPFl4ewgdD78OzCMa3o",0.138,0.302,0.148,0.066,0.026,0.128,0.03,0.078,0.084
"jxrmMI8yPStoDdgE7Y4J",0.156,0.072,0.07,0.236,0.056,0.118,0.06,0.122,0.11
"jZGQELvdhm2H6rOJTXun",0.152,0.12,0.218,0.07,0.082,0.076,0.042,0.108,0.132
"k35N9Ff2T14v7URulmz6",0.104,0.096,0.576,0.024,0.046,0.038,0.014,0.056,0.046
"k3OSYcwRsvCqeo7dTWQx",0.158,0.218,0.358,0.048,0.04,0.068,0.012,0.032,0.066
"K3ZtByPHGSFYNljDUEXp",0.158,0.2,0.272,0.054,0.058,0.09,0.012,0.05,0.106
"k4csoPNJnWbEFVXUarZi",0.138,0.124,0.368,0.062,0.05,0.054,0.036,0.1,0.068
"k4HCwy5WRFXczJU6eQdT",0.11,0.194,0.402,0.058,0.064,0.04,0.022,0.06,0.05
"k53ge1iSJsBnP2Zyx6vU",0.152,0.166,0.396,0.058,0.026,0.054,0.016,0.054,0.078
"k5McbjYX1xOBPouD6zNF",0.11,0.11,0.562,0.032,0.038,0.044,0.028,0.032,0.044
"K5PTipJ9XhUo4ZNeMW2a",0.094,0.106,0.612,0.024,0.026,0.038,0.014,0.054,0.032
"K5qpgj7bdnhS2r30OEzY",0.118,0.144,0.47,0.032,0.042,0.026,0.016,0.048,0.104
"K62VOEBLnk8crZ4MmsXT",0.142,0.19,0.412,0.06,0.03,0.038,0.02,0.054,0.054
"k6F4jOnWJoGgHqUDIwMs",0.14,0.148,0.42,0.06,0.054,0.036,0.026,0.048,0.068
"K7ZiVIxskzvctNT0qyA3",0.14,0.176,0.38,0.064,0.042,0.04,0.008,0.074,0.076
"K89sTRoP52wWL7rZUNdt",0.13,0.118,0.554,0.056,0.038,0.032,0.006,0.018,0.048
"k8pbaijqhTFKUW0PCrEL",0.136,0.252,0.302,0.056,0.038,0.042,0.044,0.032,0.098
"k9hbKLPlneoFTBiOWysq",0.114,0.146,0.476,0.064,0.046,0.044,0.012,0.044,0.054
"k9jR0qgytLGaQMEv6814",0.092,0.118,0.488,0.046,0.038,0.056,0.024,0.038,0.1
"K9moual27cWIk5bJOpiH",0.152,0.204,0.27,0.09,0.05,0.092,0.012,0.064,0.066
"k9XzyGub2DleEaHZ5dic",0.136,0.19,0.378,0.064,0.05,0.052,0.01,0.044,0.076
"k9YaL4RbcBTPlFeVJG5E",0.118,0.106,0.602,0.032,0.026,0.042,0.026,0.016,0.032
"KanJvZ3Is0X8L1G42hVj",0.168,0.184,0.328,0.08,0.06,0.048,0.026,0.028,0.078
"KAPHdnDUgF3m5pEGwxXc",0.16,0.144,0.364,0.062,0.048,0.054,0.026,0.068,0.074
"kathofyZIdzYg8LiHw4F",0.182,0.182,0.41,0.038,0.024,0.046,0.018,0.028,0.072
"KB7ybYxf95pdtUoGzl3u",0.136,0.128,0.472,0.022,0.042,0.056,0.022,0.05,0.072
"KBbVJcQrqAu4zROsEwi0",0.162,0.124,0.45,0.042,0.052,0.044,0.024,0.048,0.054
"kbrfdsqFnzU1CwBaDNgm",0.184,0.222,0.256,0.078,0.028,0.084,0.02,0.068,0.06
